"title","show_id","type","director","cast","country.x","date_added","release_year","rating","duration","listed_in","description","source","date_x","score","genre","overview","crew","status","orig_lang","budget_x","revenue","country.y"
"#Alive","s2037","Movie","Cho Il","Yoo Ah-in, Park Shin-hye","South Korea","September 8, 2020",2020,"TV-MA","99 min","Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.","Disney+","06/24/2020 ",73,"Horror,Action,Adventure,Thriller","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.","Yoo Ah-in, Oh Joon-woo, Park Shin-hye, Kim Yoo-bin, Lee Hyun-wook, Sang-chul, Jin So-yeon, Elena Kim, Kim Hak-sun, Joon-woo's Father, So Hee-jung, Joon-woo's Mother, Joo Bo-bi, Joon-woo's Sister, Jeon Bae-soo, Masked Man, Lee Chae-kyung, Masked Man’s Wife"," Released"," Korean",6300000,13416285,"KR"
"10 Things I Hate About You","s708","Movie","Gil Junger","Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan","United States","November 12, 2019",1999,"PG-13","98 min","Comedy, Coming of Age, Romance","Cameron falls for the girl of his dreams, but she is forbidden to date.","Netflix","03/30/1999 ",76,"Comedy,Romance,Drama","On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.","Julia Stiles, Katarina Stratford, Heath Ledger, Patrick Verona, Joseph Gordon-Levitt, Cameron James, Larisa Oleynik, Bianca Stratford, David Krumholtz, Michael Eckman, Andrew Keegan, Joey Donner, Susan May Pratt, Mandella, Gabrielle Union, Chastity, Larry Miller, Walter Stratford"," Released"," English",1.3e+07,60413950,"AU"
"101 Dalmatians","s709","Movie","Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi","Rod Taylor, J. Pat O'Malley, Betty Gerson, Cate Bauer, Ben Wright, Fred Worlock","United States","November 12, 2019",1961,"G","81 min","Action-Adventure, Animation, Family","Cruella De Vil dognaps all of the Dalmatian puppies in London.","Netflix","12/05/1996 ",59,"Family,Comedy","An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.","Glenn Close, Cruella De Vil, Jeff Daniels, Roger Dearly, Joely Richardson, Anita Campbell-Green, Joan Plowright, Nanny, Hugh Laurie, Jasper, Mark Williams, Horace, John Shrapnel, L. Skinner, Tim McInnerny, Alonzo, Hugh Fraser, Frederick"," Released"," English",5.4e+07,320689294,"AU"
"101 Dalmatians II: Patch's London Adventure","s710","Movie","Jim Kammerud, Brian Smith","Barry Bostwick, Jason Alexander, Martin Short, Bobby Lockwood, Susanne Blakeslee, Samuel West","United States","November 12, 2019",2003,"G","77 min","Action-Adventure, Animation","Pongo and Perdita's pup Patch gets the chance to meet his TV hero.","Netflix","11/12/2002 ",60,"Family,Adventure,Comedy,Animation","Being one of 101 takes its toll on Patch, who doesn't feel unique. When he's accidentally left behind on moving day, he meets his idol, Thunderbolt, who enlists him on a publicity campaign.","Barry Bostwick, Thunderbolt (voice), Jason Alexander, Lightning (voice), Martin Short, Lars (voice), Bobby Lockwood, Patch (voice), Susanne Blakeslee, Cruella (voice), Samuel West, Pongo (voice), Maurice LaMarche, Horace (voice), Jeff Bennett, Jasper (voice), Jodi Benson, Anita (voice)"," Released"," English",131600000,520075508,"AU"
"102 Dalmatians","s711","Movie","Kevin Lima","Glenn Close, Ioan Gruffudd, Alice Evans, Tim McInnerny, Ian Richardson, Gérard Depardieu","United States, United Kingdom","November 12, 2019",2000,"G","104 min","Action-Adventure, Animals & Nature, Family","Oddball, the spotless Dalmatian puppy, heads out in search of his spots.","Netflix","11/21/2000 ",55,"Family,Comedy","Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil.","Glenn Close, Cruella de Vil, Ioan Gruffudd, Kevin Shepherd, Alice Evans, Chloe Simon, Tim McInnerny, Alonzo, Gérard Depardieu, Jean Pierre Le Pelt, Eric Idle, Waddlesworth (voice), Ben Crompton, Ewan, Carol MacReady, Agnes, Ian Richardson, Mr. Torte"," Released"," English",8.5e+07,66941559,"US"
"13 Sins","s5989","Movie","Daniel Stamm","Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince","United States","January 13, 2019",2014,"R","93 min","Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.","Disney+","12/20/2017 ",63,"Horror,Thriller","Drowning in debt as he's about to get married, a bright but meek salesman receives a mysterious phone call informing him that he's on a hidden-camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize.","Mark Webber, Elliot, Devon Graye, Michael, Ron Perlman, Det. Chilcoat, Rutina Wesley, Shelby, Pruitt Taylor Vince, Vogler, Christopher Berry, Detective Vance, Tom Bower, Father, Ritchie Montgomery, Apartment Manager, John McConnell, Detective"," Released"," English",4e+06,47552,"AU"
"16 Blocks","s5993","Movie","Richard Donner","Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz","United States, Germany","November 1, 2019",2006,"PG-13","102 min","Action & Adventure","Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.","Disney+","08/03/2006 ",64,"Action,Adventure,Crime,Thriller","An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.","Bruce Willis, Jack Mosley, Yasiin Bey, Eddie Bunker, David Morse, Frank Nugent, Jenna Stern, Diane Mosley, David Zayas, Robert Torres, Casey Sander, Captain Dan Gruber, Cylk Cozart, Jimmy Mulvey, Robert Racki, Jerry Shue, Patrick Garrow, Touhey"," Released"," English",4.5e+07,65595141,"AU"
"17 Again","s5994","Movie","Burr Steers","Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller","United States","January 1, 2021",2009,"PG-13","102 min","Comedies","Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again.","Disney+","03/11/2009 ",63,"Comedy","On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.","Zac Efron, Mike O'Donnell, Leslie Mann, Scarlett O'Donnell, Thomas Lennon, Ned Gold, Michelle Trachtenberg, Maggie O'Donnell, Sterling Knight, Alex O'Donnell, Matthew Perry, Mike O'Donnell (Adult), Tyler Steelman, Ned Gold (Teen), Allison Miller, Scarlett (Teen), Adam Gregory, Dom"," Released"," English",4e+07,139474906,"AU"
"1922","s5208","Movie","Zak Hilditch","Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough","United States","October 20, 2017",2017,"TV-MA","103 min","Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.","Disney+","10/20/2017 ",59,"Horror,Crime,Drama","A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.","Thomas Jane, Wilfred James, Molly Parker, Arlette James, Dylan Schmid, Henry James, Kaitlyn Bernard, Shannon Cotterie, Neal McDonough, Harlan Cotterie, Tanya Champoux, Sallie, Brian d'Arcy James, Sheriff Jones, Bob Frazer, Andrew Lester, Eric Keenleyside, Lars"," Released"," English",93459000,720295760.4,"AU"
"2 Hearts","s775","Movie","Lance Hool","Jacob Elordi, Adan Canto, Radha Mitchell, Tiera Skovbye, Kari Matchett, Tahmoh Penikett","United States","June 2, 2021",2020,"PG-13","101 min","Dramas, Faith & Spirituality, Romantic Movies","In parallel love stories, the lives of college student Chris and wealthy businessman Jorge intersect in a profound twist of fate. Based on a true story.","Disney+","10/16/2020 ",75,"Romance,Drama","When illness strikes two people who are polar opposites, life and death bring them together in surprising ways.","Jacob Elordi, Chris, Adan Canto, Jorge, Tiera Skovbye, Sam, Radha Mitchell, Leslie, Kari Matchett, Grace, Tahmoh Penikett, Eric, Steve Bacic, Jose Bolivar, Jordan Burtchett, Colin, Neil Webb, Surfer Dude"," Released"," English",127400000,367355223.4,"US"
